timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1705575621245,1217,Home Page HTTP Request,200,OK,BunnyCartHomePage Thread Group 1-1,text,true,,215568,122,1,1,https://www.bunnycart.com/,1145,0,694
1705575622482,354,Search Page HTTP Request,200,OK,BunnyCartHomePage Thread Group 1-1,text,true,,180221,151,1,1,https://www.bunnycart.com/catalogsearch/result/?q=water,275,0,0
1705575622849,778,ClickProductHTTP Request,200,OK,BunnyCartHomePage Thread Group 1-1,text,true,,172130,338,1,1,https://www.bunnycart.com/aquatic-plants/water-poppy,22,0,0
1705575622849,22,ClickProductHTTP Request-0,301,Moved Permanently,BunnyCartHomePage Thread Group 1-1,,true,,670,144,1,1,https://bunnycart.com/aquatic-plants/water-poppy,22,0,0
1705575622876,751,ClickProductHTTP Request-1,200,OK,BunnyCartHomePage Thread Group 1-1,text,true,,171460,194,1,1,https://www.bunnycart.com/aquatic-plants/water-poppy,613,0,163
1705575624134,955,Home Page HTTP Request,200,OK,BunnyCartHomePage Thread Group 1-2,text,true,,215559,122,1,1,https://www.bunnycart.com/,821,0,394
1705575625099,394,Search Page HTTP Request,200,OK,BunnyCartHomePage Thread Group 1-2,text,true,,180221,151,1,1,https://www.bunnycart.com/catalogsearch/result/?q=water,320,0,0
1705575625499,889,ClickProductHTTP Request,200,OK,BunnyCartHomePage Thread Group 1-2,text,true,,172125,338,1,1,https://www.bunnycart.com/aquatic-plants/water-poppy,67,0,0
1705575625499,67,ClickProductHTTP Request-0,301,Moved Permanently,BunnyCartHomePage Thread Group 1-2,,true,,660,144,1,1,https://bunnycart.com/aquatic-plants/water-poppy,67,0,0
1705575625568,820,ClickProductHTTP Request-1,200,OK,BunnyCartHomePage Thread Group 1-2,text,true,,171465,194,1,1,https://www.bunnycart.com/aquatic-plants/water-poppy,758,0,136
1705575627116,367,Home Page HTTP Request,200,OK,BunnyCartHomePage Thread Group 1-3,text,true,,215560,122,1,1,https://www.bunnycart.com/,349,0,177
1705575627486,173,Search Page HTTP Request,200,OK,BunnyCartHomePage Thread Group 1-3,text,true,,180228,151,1,1,https://www.bunnycart.com/catalogsearch/result/?q=water,162,0,0
1705575627663,561,ClickProductHTTP Request,200,OK,BunnyCartHomePage Thread Group 1-3,text,true,,172111,338,1,1,https://www.bunnycart.com/aquatic-plants/water-poppy,22,0,0
1705575627663,22,ClickProductHTTP Request-0,301,Moved Permanently,BunnyCartHomePage Thread Group 1-3,,true,,664,144,1,1,https://bunnycart.com/aquatic-plants/water-poppy,22,0,0
1705575627686,538,ClickProductHTTP Request-1,200,OK,BunnyCartHomePage Thread Group 1-3,text,true,,171447,194,1,1,https://www.bunnycart.com/aquatic-plants/water-poppy,462,0,156
1705575630116,725,Home Page HTTP Request,200,OK,BunnyCartHomePage Thread Group 1-4,text,true,,215552,122,1,1,https://www.bunnycart.com/,658,0,306
1705575630848,353,Search Page HTTP Request,200,OK,BunnyCartHomePage Thread Group 1-4,text,true,,180232,151,1,1,https://www.bunnycart.com/catalogsearch/result/?q=water,332,0,0
1705575631206,713,ClickProductHTTP Request,200,OK,BunnyCartHomePage Thread Group 1-4,text,true,,172129,338,1,1,https://www.bunnycart.com/aquatic-plants/water-poppy,29,0,0
1705575631206,29,ClickProductHTTP Request-0,301,Moved Permanently,BunnyCartHomePage Thread Group 1-4,,true,,662,144,1,1,https://bunnycart.com/aquatic-plants/water-poppy,29,0,0
1705575631238,681,ClickProductHTTP Request-1,200,OK,BunnyCartHomePage Thread Group 1-4,text,true,,171467,194,1,1,https://www.bunnycart.com/aquatic-plants/water-poppy,598,0,143
1705575633119,1078,Home Page HTTP Request,200,OK,BunnyCartHomePage Thread Group 1-5,text,true,,215556,122,1,1,https://www.bunnycart.com/,1067,0,149
1705575634199,453,Search Page HTTP Request,200,OK,BunnyCartHomePage Thread Group 1-5,text,true,,180227,151,1,1,https://www.bunnycart.com/catalogsearch/result/?q=water,442,0,0
1705575634657,1223,ClickProductHTTP Request,200,OK,BunnyCartHomePage Thread Group 1-5,text,true,,172109,338,1,1,https://www.bunnycart.com/aquatic-plants/water-poppy,21,0,0
1705575634657,21,ClickProductHTTP Request-0,301,Moved Permanently,BunnyCartHomePage Thread Group 1-5,,true,,660,144,1,1,https://bunnycart.com/aquatic-plants/water-poppy,21,0,0
1705575634680,1200,ClickProductHTTP Request-1,200,OK,BunnyCartHomePage Thread Group 1-5,text,true,,171449,194,1,1,https://www.bunnycart.com/aquatic-plants/water-poppy,1131,0,155
1705575636117,1076,Home Page HTTP Request,200,OK,BunnyCartHomePage Thread Group 1-6,text,true,,215564,122,1,1,https://www.bunnycart.com/,1060,0,147
1705575637196,425,Search Page HTTP Request,200,OK,BunnyCartHomePage Thread Group 1-6,text,true,,180226,151,1,1,https://www.bunnycart.com/catalogsearch/result/?q=water,413,0,0
1705575637624,2143,ClickProductHTTP Request,200,OK,BunnyCartHomePage Thread Group 1-6,text,true,,172123,338,2,2,https://www.bunnycart.com/aquatic-plants/water-poppy,23,0,0
1705575637624,23,ClickProductHTTP Request-0,301,Moved Permanently,BunnyCartHomePage Thread Group 1-6,,true,,666,144,2,2,https://bunnycart.com/aquatic-plants/water-poppy,23,0,0
